id	Japanese	JapaneseTransliterated	Korean	Chinese	French	German	Spanish	Italian	English
1	フシギダネ	Fushigidane	이상해씨	妙蛙種子	Bulbizarre	Bisasam	Bulbasaur	Bulbasaur	Bulbasaur
2	フシギソウ	Fushigisou	이상해풀	妙蛙草	Herbizarre	Bisaknosp	Ivysaur	Ivysaur	Ivysaur
3	フシギバナ	Fushigibana	이상해꽃	妙蛙花	Florizarre	Bisaflor	Venusaur	Venusaur	Venusaur
4	ヒトカゲ	Hitokage	파이리	小火龍	Salamèche	Glumanda	Charmander	Charmander	Charmander
5	リザード	Lizardo	리자드	火恐龍	Reptincel	Glutexo	Charmeleon	Charmeleon	Charmeleon
6	リザードン	Lizardon	리자몽	噴火龍	Dracaufeu	Glurak	Charizard	Charizard	Charizard
7	ゼニガメ	Zenigame	꼬부기	傑尼龜	Carapuce	Schiggy	Squirtle	Squirtle	Squirtle
8	カメール	Kameil	어니부기	卡咪龜	Carabaffe	Schillok	Wartortle	Wartortle	Wartortle
9	カメックス	Kamex	거북왕	水箭龜	Tortank	Turtok	Blastoise	Blastoise	Blastoise
10	キャタピー	Caterpie	캐터피	綠毛蟲	Chenipan	Raupy	Caterpie	Caterpie	Caterpie
11	トランセル	Trancell	단데기	鐵甲蛹	Chrysacier	Safcon	Metapod	Metapod	Metapod
12	バタフリー	Butterfree	버터플	巴大蝴	Papilusion	Smettbo	Butterfree	Butterfree	Butterfree
13	ビードル	Beedle	뿔충이	獨角蟲	Aspicot	Hornliu	Weedle	Weedle	Weedle
14	コクーン	Cocoon	딱충이	鐵殼昆	Coconfort	Kokuna	Kakuna	Kakuna	Kakuna
15	スピアー	Spear	독침붕	大針蜂	Dardargnan	Bibor	Beedrill	Beedrill	Beedrill
16	ポッポ	Poppo	구구	波波	Roucool	Taubsi	Pidgey	Pidgey	Pidgey
17	ピジョン	Pigeon	피죤	比比鳥	Roucoups	Tauboga	Pidgeotto	Pidgeotto	Pidgeotto
18	ピジョット	Pigeot	피죤투	比鵰	Roucarnage	Tauboss	Pidgeot	Pidgeot	Pidgeot
19	コラッタ	Koratta	꼬렛	小拉達	Rattata	Rattfratz	Rattata	Rattata	Rattata
20	ラッタ	Ratta	레트라	拉達	Rattatac	Rattikarl	Raticate	Raticate	Raticate
21	オニスズメ	Onisuzume	깨비참	烈雀	Piafabec	Habitak	Spearow	Spearow	Spearow
22	オニドリル	Onidrill	깨비드릴조	大嘴雀	Rapasdepic	Ibitak	Fearow	Fearow	Fearow
23	アーボ	Arbo	아보	阿柏蛇	Abo	Rettan	Ekans	Ekans	Ekans
24	アーボック	Arbok	아보크	阿柏怪	Arbok	Arbok	Arbok	Arbok	Arbok
25	ピカチュウ	Pikachu	피카츄	皮卡丘	Pikachu	Pikachu	Pikachu	Pikachu	Pikachu
26	ライチュウ	Raichu	라이츄	雷丘	Raichu	Raichu	Raichu	Raichu	Raichu
27	サンド	Sand	모래두지	穿山鼠	Sabelette	Sandan	Sandshrew	Sandshrew	Sandshrew
28	サンドパン	Sandpan	고지	穿山王	Sablaireau	Sandamer	Sandslash	Sandslash	Sandslash
29	ニドラン♀	Nidoran♀	니드런♀	尼多蘭	Nidoran♀	Nidoran♀	Nidoran♀	Nidoran♀	Nidoran♀
30	ニドリーナ	Nidorina	니드리나	尼多娜	Nidorina	Nidorina	Nidorina	Nidorina	Nidorina
31	ニドクイン	Nidoqueen	니드퀸	尼多后	Nidoqueen	Nidoqueen	Nidoqueen	Nidoqueen	Nidoqueen
32	ニドラン♂	Nidoran♂	니드런♂	尼多朗	Nidoran♂	Nidoran♂	Nidoran♂	Nidoran♂	Nidoran♂
33	ニドリーノ	Nidorino	니드리노	尼多力諾	Nidorino	Nidorino	Nidorino	Nidorino	Nidorino
34	ニドキング	Nidoking	니드킹	尼多王	Nidoking	Nidoking	Nidoking	Nidoking	Nidoking
35	ピッピ	Pippi	삐삐	皮皮	Mélofée	Piepi	Clefairy	Clefairy	Clefairy
36	ピクシー	Pixy	픽시	皮可西	Mélodelfe	Pixi	Clefable	Clefable	Clefable
37	ロコン	Rokon	식스테일	六尾	Goupix	Vulpix	Vulpix	Vulpix	Vulpix
38	キュウコン	Kyukon	나인테일	九尾	Feunard	Vulnona	Ninetales	Ninetales	Ninetales
39	プリン	Purin	푸린	胖丁	Rondoudou	Pummeluff	Jigglypuff	Jigglypuff	Jigglypuff
40	プクリン	Pukurin	푸크린	胖可丁	Grodoudou	Knuddeluff	Wigglytuff	Wigglytuff	Wigglytuff
41	ズバット	Zubat	주뱃	超音蝠	Nosferapti	Zubat	Zubat	Zubat	Zubat
42	ゴルバット	Golbat	골뱃	大嘴蝠	Nosferalto	Golbat	Golbat	Golbat	Golbat
43	ナゾノクサ	Nazonokusa	뚜벅쵸	走路草	Mystherbe	Myrapla	Oddish	Oddish	Oddish
44	クサイハナ	Kusaihana	냄새꼬	臭臭花	Ortide	Duflor	Gloom	Gloom	Gloom
45	ラフレシア	Ruffresia	라플레시아	霸王花	Rafflesia	Giflor	Vileplume	Vileplume	Vileplume
46	パラス	Paras	파라스	派拉斯	Paras	Paras	Paras	Paras	Paras
47	パラセクト	Parasect	파라섹트	派拉斯特	Parasect	Parasek	Parasect	Parasect	Parasect
